Client_Type,Country,MenuVisited_Sessions,ProductCardOpened_Sessions,AddedToCart_Sessions,CartVisited_Sessions,CheckoutVisited_Sessions,OrderCreated_Sessions,MenuVisited_Conversion,ProductCardOpened_Conversion,AddedToCart_Conversion,CartVisited_Conversion,CheckoutVisited_Conversion,OrderCreated_Conversion,Menu__ProductCard_Conversion,ProductCard__AddToCart_Conversion,AddToCart__Cart_Conversion,Cart__Checkout_Conversion,Checkout__CreateOrder_Conversion
old,,125181,3,3,3,3,3,100.0,0.00239652982481367,0.00239652982481367,0.00239652982481367,0.00239652982481367,0.00239652982481367,0.00239652982481367,100.0,100.0,100.0,100.0
old,DE,1511,819,478,462,296,235,100.0,54.20251489080079,31.634679020516216,30.57577763070814,19.589675711449374,15.552614162806089,54.20251489080079,58.36385836385837,96.65271966527197,64.06926406926407,79.3918918918919
new,RO,279,127,81,76,46,30,100.0,45.51971326164875,29.03225806451613,27.24014336917563,16.48745519713262,10.75268817204301,45.51971326164875,63.77952755905512,93.82716049382715,60.526315789473685,65.21739130434783
new,TJ,129,40,27,24,12,8,100.0,31.007751937984494,20.930232558139537,18.6046511627907,9.30232558139535,6.2015503875969,31.007751937984494,67.5,88.88888888888889,50.0,66.66666666666666
new,PL,65,25,17,17,9,3,100.0,38.46153846153847,26.153846153846157,26.153846153846157,13.846153846153847,4.615384615384616,38.46153846153847,68.0,100.0,52.94117647058824,33.33333333333333
new,LT,185,88,54,54,30,20,100.0,47.56756756756757,29.18918918918919,29.18918918918919,16.216216216216218,10.81081081081081,47.56756756756757,61.36363636363637,100.0,55.55555555555556,66.66666666666666
new,VN,73,27,18,16,6,5,100.0,36.986301369863014,24.65753424657534,21.91780821917808,8.21917808219178,6.8493150684931505,36.986301369863014,66.66666666666666,88.88888888888889,37.5,83.33333333333334
new,AE,57,16,8,7,4,3,100.0,28.07017543859649,14.035087719298245,12.280701754385964,7.017543859649122,5.263157894736842,28.07017543859649,50.0,87.5,57.14285714285714,75.0
new,GB,101,18,8,7,4,1,100.0,17.82178217821782,7.920792079207921,6.9306930693069315,3.9603960396039604,0.9900990099009901,17.82178217821782,44.44444444444444,87.5,57.14285714285714,25.0
old,AM,18,5,2,2,0,0,100.0,27.77777777777778,11.11111111111111,11.11111111111111,0.0,0.0,27.77777777777778,40.0,100.0,0.0,NaN
old,ru-RU,15,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
new,DE,43,10,5,5,1,1,100.0,23.25581395348837,11.627906976744185,11.627906976744185,2.3255813953488373,2.3255813953488373,23.25581395348837,50.0,100.0,20.0,100.0
old,CY,3,1,1,1,0,0,100.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,100.0,100.0,0.0,NaN
